data,valor
01/01/1991,20.27
01/02/1991,19.62
01/03/1991,13.45
01/04/1991,4.85
01/05/1991,8.15
01/06/1991,11.39
01/07/1991,12.52
01/08/1991,0.00
01/09/1991,33.39
01/10/1991,18.86
01/11/1991,24.68
01/12/1991,24.28
01/01/1992,25.76
01/02/1992,24.24
01/03/1992,21.77
01/04/1992,20.23
01/05/1992,24.96
01/06/1992,20.23
01/07/1992,21.95
01/08/1992,21.65
01/09/1992,24.19
01/10/1992,25.17
01/11/1992,23.66
01/12/1992,24.92
01/01/1993,30.22
01/02/1993,24.77
01/03/1993,27.42
01/04/1993,27.04
01/05/1993,27.71
01/06/1993,30.12
01/07/1993,30.45
01/08/1993,32.73
01/09/1993,35.71
01/10/1993,34.28
01/11/1993,35.91
01/12/1993,36.45
01/01/1994,40.32
01/02/1994,40.20
01/03/1994,42.11
01/04/1994,42.88
01/05/1994,45.89
01/06/1994,46.88
01/07/1994,7.04
01/08/1994,1.80
01/09/1994,1.73
01/10/1994,1.94
01/11/1994,2.50
01/12/1994,2.30
01/01/1995,2.31
01/02/1995,1.52
01/03/1995,1.75
01/04/1995,2.80
01/05/1995,3.52
01/06/1995,3.12
01/07/1995,2.79
01/08/1995,1.23
01/09/1995,1.33
01/10/1995,1.43
01/11/1995,1.54
01/12/1995,1.76
01/01/1996,1.35
01/02/1996,1.37
01/03/1996,0.49
01/04/1996,0.80
01/05/1996,1.33
01/06/1996,1.31
01/07/1996,1.25
01/08/1996,0.61
01/09/1996,0.28
01/10/1996,0.23
01/11/1996,0.45
01/12/1996,0.50
01/01/1997,0.76
01/02/1997,0.45
01/03/1997,0.31
01/04/1997,1.03
01/05/1997,0.78
01/06/1997,0.72
01/07/1997,0.44
01/08/1997,0.08
01/09/1997,0.10
01/10/1997,0.20
01/11/1997,-0.04
01/12/1997,0.18
01/01/1998,0.49
01/02/1998,0.44
01/03/1998,0.13
01/04/1998,0.04
01/05/1998,0.22
01/06/1998,0.00
01/07/1998,0.13
01/08/1998,-0.17
01/09/1998,-0.12
01/10/1998,0.04
01/11/1998,0.04
01/12/1998,0.16
01/01/1999,0.57
01/02/1999,0.66
01/03/1999,0.83
01/04/1999,0.61
01/05/1999,0.51
01/06/1999,0.40
01/07/1999,0.63
01/08/1999,0.43
01/09/1999,0.23
01/10/1999,0.90
01/11/1999,0.42
01/12/1999,0.46
01/01/2000,0.63
01/02/2000,0.32
01/03/2000,0.16
01/04/2000,0.62
01/05/2000,0.19
01/06/2000,0.31
01/07/2000,0.82
